Dim,brute_force,brute_force_time,greedy,greedy_time,local_search,local_search_time,local_search_perm,local_search_perm_time,sim_annealing,sim_annealing_time,vns,vns_time,genetic_alg,genetic_alg_time,tabu,tabu_time,taloc_combo,taloc_combo_time
5,6.0,0.0,8.0,0.0,6.0,0.01,6.0,0.05,6.0,0.01,6.0,0.61,6.0,0.15,6.0,0.02,6.0,0.18
8,23.0,0.54,44.0,0.0,23.0,0.01,23.0,0.09,23.0,0.01,23.0,1.02,23.0,0.18,23.0,0.06,23.0,0.34
10,60.0,76.28,98.0,0.0,60.0,0.02,60.0,0.13,60.0,0.02,60.0,0.44,60.0,0.21,60.0,0.12,60.0,0.55
11,,,114.0,0.0,71.0,0.03,70.0,0.12,70.0,0.02,70.0,2.08,70.0,0.23,70.0,0.31,70.0,0.56
15,,,386.0,0.0,252.0,0.04,248.0,0.21,248.0,0.03,248.0,1.22,248.0,0.32,251.0,1.2,248.0,1.27
20,,,818.0,0.0,511.0,0.06,507.0,0.4,508.0,0.06,508.0,10.52,507.0,0.49,512.0,7.53,507.0,2.3
30,,,2751.0,0.0,1943.0,0.16,1922.0,0.89,1927.0,0.14,1905.0,13.95,1905.0,1.05,1937.0,48.95,1879.0,58.74
50,,,11293.0,0.0,8981.0,0.45,8633.0,2.69,8688.0,0.43,8561.0,185.92,8218.0,1.44,8244.0,204.91,8113.0,21.99
70,,,31606.0,0.0,26034.0,0.55,25591.0,2.86,26230.0,0.53,25064.0,316.9,24483.0,3.24,25058.0,1567.18,24492.0,1301.84
